,id_produto,categoria,peso,altura,comprimento,largura,cat_bin,cat_bin_desc
0,96bd76ec8810374ed1b65e291975717f,esporte_lazer,154.0,9.0,18.0,15.0,0,PESSOA
1,9dc1a7de274444849c219cff195d0b71,utilidades_domesticas,625.0,17.0,20.0,13.0,1,CASA
2,2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,900.0,8.0,40.0,40.0,1,CASA
3,8c92109888e8cdf9d66dc7e463025574,brinquedos,600.0,10.0,17.0,12.0,0,PESSOA
4,14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,1100.0,10.0,16.0,16.0,1,CASA
5,7bb6f29c2be57716194f96496660c7c2,moveis_decoracao,600.0,11.0,68.0,13.0,1,CASA
6,3bb7f144022e6732727d8d838a7b13b3,esporte_lazer,800.0,2.0,16.0,11.0,0,PESSOA
7,a1b71017a84f92fd8da4aeefba108a24,informatica_acessorios,900.0,15.0,40.0,20.0,0,PESSOA
8,a0736b92e52f6cead290e30b578413b6,moveis_decoracao,1700.0,7.0,100.0,15.0,1,CASA
9,f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,500.0,10.0,16.0,16.0,1,CASA
10,1c1890ba1779090cd54008a3c3302921,moveis_decoracao,2550.0,24.0,29.0,45.0,1,CASA
11,518ef5de2c2b3a255e326a4594ba15d9,cama_mesa_banho,800.0,8.0,36.0,16.0,1,CASA
12,e3e020af31d4d89d2602272b315c3f6e,beleza_saude,75.0,7.0,21.0,13.0,0,PESSOA
13,d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,1800.0,10.0,40.0,30.0,1,CASA
14,8ba4f2a4ae695d26e5626c1bf710975e,utilidades_domesticas,900.0,5.0,50.0,50.0,1,CASA
15,c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,300.0,2.0,42.0,30.0,0,PESSOA
16,a0253d43394dd4da9a5d7b1f546f1a32,informatica_acessorios,740.0,13.0,23.0,13.0,0,PESSOA
17,051b9ff13dd55c0a6655a15ff296f80d,esporte_lazer,3600.0,23.0,62.0,23.0,0,PESSOA
18,47859fca9dd7485cbd93c3e8993bb74f,cama_mesa_banho,650.0,10.0,16.0,16.0,1,CASA
19,20e37962088a4061d3578def47a8648b,moveis_decoracao,800.0,10.0,40.0,34.0,1,CASA
20,ce5b91848b91118daffb3af53b747475,esporte_lazer,1388.0,9.0,34.0,31.0,0,PESSOA
21,b8dac5113b06a97e64943234522572b9,automotivo,6000.0,3.0,87.0,42.0,1,CASA
22,e6af694343b45b56304ad91974a110b9,utilidades_domesticas,3900.0,20.0,19.0,15.0,1,CASA
23,680874c570dad71c0a2844cfbf417054,moveis_decoracao,600.0,25.0,25.0,25.0,1,CASA
24,8b3a9476f74f5297f7ff0ec6d95fe1ea,moveis_decoracao,2050.0,13.0,49.0,41.0,1,CASA
25,1c6fb703c624b381a20f21f757694866,brinquedos,725.0,17.0,22.0,15.0,0,PESSOA
26,db46052aed7dff59ba38cf2fe29b87f9,cama_mesa_banho,6350.0,15.0,45.0,35.0,1,CASA
27,83b9bc6aae6f527ff6aafb9e01d6cbf3,brinquedos,2550.0,32.0,22.0,38.0,0,PESSOA
28,bbf920aa6ac72007a726e6f419156f8f,moveis_decoracao,1300.0,16.0,25.0,25.0,1,CASA
29,c3b7e4d83e530c27a8e6368296aece48,moveis_decoracao,850.0,11.0,69.0,11.0,1,CASA
30,c5d8079278e912d7e3b6beb48ecb56e8,beleza_saude,1300.0,28.0,19.0,17.0,0,PESSOA
31,5eaa343860dc445b3fd43d1b682809fd,esporte_lazer,4800.0,30.0,60.0,15.0,0,PESSOA
32,334479e94cba98064050db1c9636e244,automotivo,220.0,14.0,18.0,17.0,1,CASA
33,92bf5d2084dfbcb57d9db7838bac5cd0,telefonia,100.0,3.0,19.0,11.0,0,PESSOA
34,0d826eba8e0a2ae3bca9e3a947dd756d,brinquedos,250.0,14.0,20.0,12.0,0,PESSOA
35,f8f6fd145cc00519283cf3100477b2b3,esporte_lazer,1050.0,20.0,25.0,14.0,0,PESSOA
36,36555a2f528d7b2a255c504191445d39,beleza_saude,1467.0,16.0,23.0,20.0,0,PESSOA
